id,modul,dateiname,url,viewport,beschreibung,slide_nr
SS-044,Mitarbeiterportal,44-employee-execution-consent.png,https://caresuiteplus.app/portal/employee/assignments/[id]/execute,iPhone 390px,GPS Einwilligung Banner,43
SS-045,Mitarbeiterportal,45-employee-execution-unterwegs.png,https://caresuiteplus.app/portal/employee/assignments/[id]/execute,iPhone 390px,Anfahrt Unterwegs Status,44
SS-046,Mitarbeiterportal,46-employee-execution-gestartet.png,https://caresuiteplus.app/portal/employee/assignments/[id]/execute,iPhone 390px,Laufender Einsatz Gestartet,46
SS-047,Mitarbeiterportal,47-employee-schedule.png,https://caresuiteplus.app/portal/employee/schedule,iPhone 390px,Dienstplan Wochenansicht,39
SS-048,Mitarbeiterportal,48-employee-messages.png,https://caresuiteplus.app/portal/employee/messages,iPhone 390px,Nachrichten MA-Portal,40
SS-049,Mitarbeiterportal,49-employee-profile.png,https://caresuiteplus.app/portal/employee/profile,iPhone 390px,Profil mit Avatar,41
SS-050,Mitarbeiterportal,50-employee-bottom-nav.png,https://caresuiteplus.app/portal/employee,iPhone 390px,Bottom-Nav 5 Tabs,31
SS-051,Klientenportal,51-client-welcome-modal.png,https://caresuiteplus.app/portal/client,iPhone 390px,Willkommens-Popup Klient,51
SS-052,Klientenportal,52-client-dashboard.png,https://caresuiteplus.app/portal/client,iPhone 390px,Klientenportal Startseite,52
SS-053,Klientenportal,53-client-appointments.png,https://caresuiteplus.app/portal/client/appointments,iPhone 390px,Termine und Einsaetze,53
SS-054,Klientenportal,54-client-documents.png,https://caresuiteplus.app/portal/client/documents,iPhone 390px,Dokumentenliste,54
SS-055,Klientenportal,55-client-messages-profile.png,https://caresuiteplus.app/portal/client/messages,iPhone 390px,Nachrichten und Profil,55
